Incident ID,Created Date,Resolved Date,Priority,Status,Category,Subcategory,Assignee,Assignment Group,Source,Affected System,Description,Resolution Notes
INC000145,2025-03-03 00:11:54.772006,2025-03-03 02:16:17.441822,P4,Resolved,Server,Hardware,David Miller,Server Team,Chat,File Server,Hardware failure in Server system,Restarted Server service to resolve Hardware issue
INC000146,2025-03-05 12:38:54.772006,2025-03-07 14:52:34.640921,P4,Closed,User Access,Password Reset,Robert Johnson,Help Desk,Phone,ERP System,Password Reset failure in User Access system,Restarted User Access service to resolve Password Reset issue
INC000147,2025-03-05 14:06:54.772006,2025-03-06 09:21:51.247642,P4,Resolved,Network,Firewall,Maria Garcia,Network Team,Email,VPN Service,Network Firewall not functioning as expected,Fixed Firewall configuration in Network
INC000148,2025-03-05 14:19:54.772006,2025-03-05 18:39:17.579278,P3,Closed,Network,VPN,Maria Garcia,Network Team,Phone,VPN Service,VPN failure in Network system,Known issue with workaround applied
INC000149,2025-03-07 09:32:54.772006,2025-03-07 22:15:46.236824,P4,Closed,Server,Windows,David Miller,Server Team,Email,Email Server,Server issue: Windows problem reported by user,Fixed Windows configuration in Server
INC000150,2025-03-08 00:36:54.772006,2025-03-09 12:41:38.853932,P4,Closed,Application,Integration,Robert Johnson,Application Support,Phone,ERP System,User experiencing Integration issues with Application,Known issue with workaround applied
INC000151,2025-03-09 05:19:54.772006,,P3,Pending,Server,Performance,Robert Johnson,Server Team,Email,Email Server,Server issue: Performance problem reported by user,
INC000152,2025-03-10 01:37:54.772006,2025-03-10 17:20:35.531207,P2,Closed,Security,Policy,Robert Johnson,Security Team,Chat,Active Directory,Security issue: Policy problem reported by user,User error resolved with additional training
INC000153,2025-03-11 03:56:54.772006,2025-03-15 09:12:12.855598,P1,Closed,Network,Connectivity,Robert Johnson,Network Team,Phone,Network Infrastructure,Network issue: Connectivity problem reported by user,Fixed Connectivity configuration in Network
INC000154,2025-03-11 06:22:54.772006,2025-03-11 17:43:43.815831,P3,Closed,Server,Windows,Maria Garcia,Server Team,Chat,File Server,Windows failure in Server system,Known issue with workaround applied
INC000155,2025-03-11 21:52:54.772006,2025-03-13 07:06:44.988057,P2,Resolved,Security,Malware,Lisa Wong,Security Team,Web Portal,Active Directory,Security issue: Malware problem reported by user,User error resolved with additional training
INC000156,2025-03-12 16:48:54.772006,2025-03-13 04:47:46.438750,P3,Closed,User Access,Password Reset,David Miller,Help Desk,Web Portal,VPN Service,User experiencing Password Reset issues with User Access,Restarted User Access service to resolve Password Reset issue
INC000157,2025-03-13 07:09:54.772006,2025-03-15 01:34:28.111369,P2,Closed,User Access,Termination,Robert Johnson,Help Desk,Monitoring System,Email Server,Termination failure in User Access system,Known issue with workaround applied
INC000158,2025-03-13 20:50:54.772006,2025-03-14 17:03:09.422307,P2,Resolved,Security,Access,David Miller,Security Team,Web Portal,Active Directory,User experiencing Access issues with Security,Applied patch to fix Access vulnerability
INC000159,2025-03-14 23:11:54.772006,2025-03-15 00:46:24.200805,P1,Closed,Security,Policy,Maria Garcia,Security Team,Phone,Active Directory,Security Policy not functioning as expected,Applied patch to fix Policy vulnerability
INC000160,2025-03-14 23:33:54.772006,2025-03-15 00:27:56.232840,P2,Resolved,Network,Switch,Lisa Wong,Network Team,Chat,VPN Service,Network Switch not functioning as expected,Restarted Network service to resolve Switch issue
INC000161,2025-03-15 01:42:54.772006,2025-03-15 05:09:50.419303,P2,Closed,User Access,Permission,Lisa Wong,Help Desk,Monitoring System,Web Application,Permission failure in User Access system,Fixed Permission configuration in User Access
INC000162,2025-03-15 02:18:54.772006,2025-03-15 02:38:44.179189,P4,Closed,Hardware,Desktop,Maria Garcia,Help Desk,Chat,Network Infrastructure,Hardware Desktop not functioning as expected,Known issue with workaround applied
INC000163,2025-03-18 03:17:54.772006,2025-03-18 05:10:44.193878,P3,Resolved,Hardware,Mobile,Jane Doe,Help Desk,Chat,File Server,Hardware issue: Mobile problem reported by user,Restarted Hardware service to resolve Mobile issue
INC000164,2025-03-18 05:53:54.772006,,P4,Pending,Server,Windows,Jane Doe,Server Team,Web Portal,File Server,User experiencing Windows issues with Server,
INC000165,2025-03-19 09:29:54.772006,,P4,In Progress,Database,Corruption,Robert Johnson,Database Team,Monitoring System,Database Server,Corruption failure in Database system,
INC000166,2025-03-21 11:48:54.772006,2025-03-22 16:03:24.126826,P2,Resolved,Server,Windows,Lisa Wong,Server Team,Email,File Server,Windows failure in Server system,Restarted Server service to resolve Windows issue
INC000167,2025-03-21 17:06:54.772006,2025-03-22 11:27:31.415253,P3,Closed,User Access,New Account,Robert Johnson,Help Desk,Chat,File Server,User Access issue: New Account problem reported by user,Known issue with workaround applied
INC000168,2025-03-22 09:58:54.772006,2025-03-23 19:14:39.765328,P1,Closed,Security,Access,David Miller,Security Team,Web Portal,Active Directory,User experiencing Access issues with Security,Fixed Access configuration in Security
INC000169,2025-03-22 12:43:54.772006,2025-03-24 23:22:55.132803,P4,Closed,Server,Performance,Unassigned,Server Team,Web Portal,File Server,Performance failure in Server system,Fixed Performance configuration in Server
INC000170,2025-03-22 23:21:54.772006,2025-03-23 20:28:52.701121,P4,Closed,Database,Performance,Lisa Wong,Database Team,Chat,Database Server,User experiencing Performance issues with Database,Restarted Database service to resolve Performance issue
INC000171,2025-03-23 01:20:54.772006,,P3,Open,Network,Router,Robert Johnson,Network Team,Email,VPN Service,Router failure in Network system,
INC000172,2025-03-23 05:32:54.772006,2025-03-24 12:37:48.673700,P3,Closed,User Access,Termination,Lisa Wong,Help Desk,Phone,Database Server,User Access issue: Termination problem reported by user,Fixed Termination configuration in User Access
INC000173,2025-03-24 19:47:54.772006,2025-03-26 05:45:33.196068,P2,Closed,Application,Performance,Jane Doe,Application Support,Monitoring System,Web Application,Application Performance not functioning as expected,Known issue with workaround applied
INC000174,2025-03-25 18:58:54.772006,2025-03-26 06:22:18.046876,P3,Closed,Server,Windows,Maria Garcia,Server Team,Phone,File Server,Windows failure in Server system,Restarted Server service to resolve Windows issue
INC000175,2025-03-28 01:06:54.772006,,P3,Open,Database,Query,John Smith,Database Team,Phone,Database Server,Database issue: Query problem reported by user,
INC000176,2025-03-28 09:57:54.772006,2025-03-28 16:35:09.531886,P3,Closed,Hardware,Desktop,Unassigned,Help Desk,Web Portal,Web Application,Desktop failure in Hardware system,User error resolved with additional training
INC000177,2025-03-28 15:23:54.772006,2025-03-28 20:54:20.995812,P1,Closed,Hardware,Peripheral,Lisa Wong,Help Desk,Monitoring System,Active Directory,Peripheral failure in Hardware system,User error resolved with additional training
INC000178,2025-03-29 00:14:54.772006,2025-03-29 07:11:56.832095,P2,Resolved,Network,Connectivity,John Smith,Network Team,Monitoring System,Network Infrastructure,User experiencing Connectivity issues with Network,Known issue with workaround applied
INC000179,2025-03-30 15:53:54.772006,2025-03-30 23:36:27.640645,P3,Resolved,Hardware,Mobile,Jane Doe,Help Desk,Email,ERP System,User experiencing Mobile issues with Hardware,Known issue with workaround applied
INC000180,2025-03-31 08:54:54.772006,2025-03-31 14:29:18.508442,P2,Closed,Security,Malware,Lisa Wong,Security Team,Phone,Active Directory,Malware failure in Security system,Fixed Malware configuration in Security
INC000181,2025-03-31 13:54:54.772006,2025-04-02 16:26:53.827333,P3,Closed,Database,Performance,Lisa Wong,Database Team,Chat,Database Server,Performance failure in Database system,Applied patch to fix Performance vulnerability
INC000182,2025-03-31 17:31:54.772006,2025-04-02 03:29:04.010845,P4,Resolved,Database,Performance,Robert Johnson,Database Team,Phone,Database Server,Database Performance not functioning as expected,Fixed Performance configuration in Database
INC000183,2025-03-31 19:04:54.772006,,P3,Pending,Hardware,Printer,John Smith,Help Desk,Web Portal,Database Server,Hardware Printer not functioning as expected,
INC000184,2025-04-02 05:02:54.772006,2025-04-02 06:12:04.714603,P4,Closed,Server,VMware,Jane Doe,Server Team,Phone,Email Server,User experiencing VMware issues with Server,Applied patch to fix VMware vulnerability
INC000185,2025-04-02 11:20:54.772006,2025-04-02 18:51:28.803114,P3,Closed,Network,Switch,Maria Garcia,Network Team,Chat,VPN Service,User experiencing Switch issues with Network,Fixed Switch configuration in Network
INC000186,2025-04-03 02:02:54.772006,2025-04-03 02:35:13.114929,P3,Closed,Database,Backup,Jane Doe,Database Team,Chat,Database Server,Backup failure in Database system,Fixed Backup configuration in Database
INC000187,2025-04-04 04:01:54.772006,,P4,Pending,Server,Hardware,Lisa Wong,Server Team,Monitoring System,File Server,Server issue: Hardware problem reported by user,
INC000188,2025-04-04 04:47:54.772006,2025-04-04 21:20:46.212978,P1,Closed,Security,Policy,Maria Garcia,Security Team,Chat,Active Directory,User experiencing Policy issues with Security,User error resolved with additional training
INC000189,2025-04-05 17:41:54.772006,2025-04-06 09:13:06.694416,P3,Closed,Application,Performance,David Miller,Application Support,Phone,Web Application,User experiencing Performance issues with Application,User error resolved with additional training
INC000190,2025-04-07 16:39:54.772006,2025-04-09 11:23:11.709733,P3,Closed,Server,Windows,John Smith,Server Team,Web Portal,Email Server,User experiencing Windows issues with Server,Applied patch to fix Windows vulnerability
INC000191,2025-04-10 08:47:54.772006,2025-04-10 17:37:36.793182,P2,Closed,Network,VPN,Lisa Wong,Network Team,Monitoring System,Network Infrastructure,Network issue: VPN problem reported by user,Fixed VPN configuration in Network
INC000192,2025-04-11 18:08:54.772006,2025-04-13 10:49:35.696615,P2,Resolved,Database,Backup,David Miller,Database Team,Monitoring System,Database Server,Database Backup not functioning as expected,Fixed Backup configuration in Database
INC000193,2025-04-14 10:11:54.772006,2025-04-17 20:47:14.441815,P4,Resolved,Database,Corruption,Maria Garcia,Database Team,Chat,Database Server,User experiencing Corruption issues with Database,Restarted Database service to resolve Corruption issue
INC000194,2025-04-15 16:50:54.772006,,P4,In Progress,Application,Configuration,David Miller,Application Support,Chat,CRM System,Configuration failure in Application system,
INC000195,2025-04-16 13:09:54.772006,2025-04-16 15:23:12.215418,P4,Closed,Hardware,Laptop,Unassigned,Help Desk,Phone,Database Server,User experiencing Laptop issues with Hardware,Applied patch to fix Laptop vulnerability
INC000196,2025-04-18 08:52:54.772006,,P3,Pending,User Access,Password Reset,David Miller,Help Desk,Phone,Database Server,User Access Password Reset not functioning as expected,
INC000197,2025-04-18 17:10:54.772006,2025-04-20 06:50:45.904456,P4,Closed,Server,Performance,Lisa Wong,Server Team,Web Portal,Email Server,Server issue: Performance problem reported by user,Known issue with workaround applied
INC000198,2025-04-18 20:58:54.772006,2025-04-19 18:22:39.556140,P1,Closed,Network,Router,Jane Doe,Network Team,Monitoring System,VPN Service,Router failure in Network system,Known issue with workaround applied
INC000199,2025-04-19 19:27:54.772006,,P3,In Progress,Server,Hardware,John Smith,Server Team,Monitoring System,Email Server,Server Hardware not functioning as expected,
INC000200,2025-04-20 03:10:54.772006,,P4,Open,Security,Malware,John Smith,Security Team,Email,VPN Service,User experiencing Malware issues with Security,
